t,real_x,real_y,radar_x,radar_y,kalman_x,kalman_y,kalman_vx,kalman_vy,alpha_x,alpha_y
1,50,10,51.0004,9.06887,51.0004,9.06887,0,0,51.0004,9.06887
2,100,20,97.1927,23.5952,93.7851,22.5236,37.8626,11.9069,60.2389,11.9741
3,150,30,150.614,28.9585,147.475,29.8642,46.8133,9.32448,78.3139,15.371
4,200,40,197.098,32.1859,196.384,33.9648,47.6597,7.21531,102.071,18.734
5,250,50,251.836,44.7729,249.384,43.6421,49.3411,7.99056,132.024,23.9418
6,300,60,303.783,58.2174,301.993,55.8869,50.2004,9.10921,166.376,30.7969
7,350,70,344.689,65.9068,347.531,65.5619,49.1196,9.24037,202.038,37.8189
8,400,80,402.224,78.0156,400.027,76.7492,49.839,9.6551,242.075,45.8582
9,450,90,450.477,88.9454,450.231,87.9197,49.9125,9.9608,283.756,54.4757
10,500,100,504.41,98.0461,502.663,97.9783,50.4037,9.97987,327.887,63.1897
11,550,110,545.368,108.692,548.547,108.389,49.5408,10.0621,371.383,72.2902
12,600,120,600.231,122.762,599.341,120.973,49.7771,10.5376,417.152,82.3847
13,650,130,650.036,130.656,649.654,131.012,49.8773,10.4443,463.729,92.0389
14,700,140,703.117,145.041,701.622,143.546,50.2669,10.8337,511.607,102.639
15,750,150,749.675,151.604,750.599,152.763,50.0272,10.5331,559.22,112.432
16,800,160,801.229,161.277,800.977,162.12,50.0923,10.315,607.622,122.201
17,850,170,848.047,167.241,849.31,169.412,49.7661,9.75442,655.707,131.209
18,900,180,899.431,180.65,899.283,180.03,49.8044,9.91448,704.452,141.097
19,950,190,943.415,194.287,945.786,192.472,49.1929,10.3828,752.245,151.735
20,1000,200,1001.74,202.359,998.916,202.566,49.9222,10.3293,802.145,161.86
21,1050,210,1048.04,206.703,1048.37,209.292,49.8359,9.66183,851.323,170.829
22,1100,220,1106.55,220.362,1103.06,219.773,50.7345,9.81364,902.368,180.735
23,1150,230,1153.7,231.128,1153.74,230.484,50.7243,9.97975,952.634,190.814
24,1200,240,1197.89,240.17,1200.64,240.293,50.0154,9.9481,1001.68,200.685
25,1250,250,1247.04,251.731,1248.55,251.108,49.6258,10.1087,1050.76,210.894
26,1300,260,1300.45,260.471,1299.5,260.783,49.8706,10.0284,1100.69,220.81
27,1350,270,1352.68,271.604,1351.29,271.272,50.2277,10.1138,1151.09,230.969
28,1400,280,1403.2,281.02,1402.5,281.173,50.4085,10.0743,1201.51,240.979
29,1450,290,1454.78,290.193,1454,290.634,50.6108,9.96072,1252.17,250.822
30,1500,300,1498.61,296.748,1501.12,298.356,49.9642,9.54621,1301.46,260.007
