t,real_x,real_y,radar_x,radar_y,kalman_x,kalman_y,kalman_vx,kalman_vy,alpha_x,alpha_y
1,10,2,7.20099,10.9045,7.20099,10.9045,0,0,7.20099,10.9045
2,20,4,24.7605,2.94889,23.4241,3.5544,14.8495,-6.72781,10.7129,9.3134
3,30,6,33.6523,9.04151,34.5147,6.76215,12.6405,-0.889011,15.3008,9.25902
4,40,8,39.2432,14.0604,41.6482,11.5717,10.3062,1.5265,20.0893,10.2193
5,50,10,54.6482,11.9689,53.5798,12.4168,10.843,1.30149,27.0011,10.5692
6,60,12,58.4418,7.89509,61.2392,10.6188,9.98246,0.463663,33.2892,10.0344
7,70,14,66.8677,12.3336,69.1437,11.6796,9.5066,0.60041,40.0049,10.4942
8,80,16,83.7542,15.584,80.8659,13.7142,9.94781,0.886023,48.7548,11.5122
9,90,18,90.2025,25.69,90.5693,19.034,9.90459,1.67019,57.0443,14.3478
10,100,20,100.108,24.3919,100.338,22.0772,9.88281,1.88977,65.6571,16.3566
11,110,22,108.113,18.8554,109.483,22.1772,9.7744,1.62683,74.1483,16.8564
12,120,24,119.713,23.2863,119.408,23.6321,9.79512,1.60329,83.2612,18.1423
13,130,26,132.067,29.9046,130.113,26.7187,9.9126,1.79488,93.0222,20.4948
14,140,28,142.257,27.78,140.708,28.2891,9.99676,1.76722,102.869,21.9518
15,150,30,147.974,32.166,149.895,30.6819,9.90052,1.84155,111.89,23.9947
16,160,32,159.528,33.3215,159.718,32.7541,9.89157,1.86819,121.418,25.86
17,170,34,168.715,30.0786,169.357,33.3362,9.86294,1.72276,130.877,26.7038
18,180,36,180.752,33.5219,179.646,34.631,9.91045,1.67512,140.852,28.0674
19,190,38,188.569,38.4972,189.285,36.9082,9.88057,1.74141,150.396,30.1533
20,200,40,194.653,35.319,197.938,37.7437,9.74644,1.64242,159.247,31.1865
21,210,42,212.661,43.1696,209.028,40.4073,9.89247,1.75344,169.93,33.5831
22,220,44,221.615,46.2572,219.644,43.26,9.97082,1.87257,180.267,36.1179
23,230,46,226.026,44.1837,228.655,44.879,9.86711,1.84514,189.419,37.7311
24,240,48,237.647,48.9758,238.289,47.324,9.84193,1.90994,199.064,39.98
25,250,50,248.97,46.3271,248.354,48.4613,9.86601,1.82652,209.046,41.2494
26,260,52,260.473,54.5305,258.818,51.4138,9.93053,1.94807,219.331,43.9056
27,270,54,276.015,55.0948,270.675,53.8213,10.1385,1.99766,230.668,46.1435
28,280,56,278.617,58.0117,280.232,56.3999,10.0757,2.06038,240.258,48.5171
29,290,58,288.638,56.7667,289.865,58.0118,10.0279,2.01196,249.934,50.1671
30,300,60,296.638,59.7295,299.032,59.9459,9.93489,2.00354,259.275,52.0795
